onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.7729167,2.7927084,36,87,1,0,n0,-10.0,-10.0
0.7729167,1.3541666,48,108,1,0,n1,-10.0,-10.0
1.0,1.1270833,48,28,1,0,n2,0.772917,0.0
1.0447917,1.0822917,55,69,1,0,n3,0.772917,0.0
1.1395833,0.9875,60,58,1,0,n4,0.772917,0.0
1.1510416,2.4145834,48,28,1,0,n5,0.772917,0.0
1.1677083,0.959375,59,33,1,0,n6,0.772917,0.0
1.1770834,0.95,64,59,1,0,n7,1.177083,1.0
1.2291666,0.8979167,62,14,1,0,n8,1.177083,1.0
1.2729167,0.8541667,60,72,1,0,n9,1.177083,1.0
1.3635417,0.76354164,67,75,1,0,n10,1.177083,1.0
1.4229167,0.70416665,72,78,1,0,n11,1.177083,1.0
1.496875,0.6302083,76,86,1,0,n12,1.496875,2.0
1.5822917,0.54479164,72,82,1,0,n13,1.496875,2.0
1.6708333,0.45625,79,84,1,0,n14,1.496875,2.0
1.728125,0.39895833,84,75,1,0,n15,1.496875,2.0
1.8083333,0.31875,88,87,1,0,n16,1.808333,3.0
1.8895833,0.2375,84,71,1,0,n17,1.808333,3.0
1.9885417,0.13854167,91,62,1,0,n18,1.808333,3.0
2.0052083,0.121875,89,53,1,0,n19,1.808333,3.0
2.059375,0.067708336,96,67,1,0,n20,1.808333,3.0
2.0666666,0.060416665,95,61,1,0,n21,1.808333,3.0
2.1270833,1.4385417,100,100,1,0,n22,2.127083,4.0
2.2020833,1.3635417,96,83,1,0,n23,2.127083,4.0
2.290625,1.275,91,86,1,0,n24,2.127083,4.0
2.3822916,1.1833333,84,66,1,0,n25,2.127083,4.0
2.4447916,1.1208333,88,86,1,0,n26,2.127083,4.0
2.5041666,1.0614583,84,66,1,0,n27,2.444792,5.0
2.5989583,0.96666664,79,79,1,0,n28,2.444792,5.0
2.6875,0.878125,72,74,1,0,n29,2.444792,5.0
2.7677083,0.79791665,76,85,1,0,n30,2.767708,6.0
2.8322916,0.73333335,72,81,1,0,n31,2.767708,6.0
2.9291666,0.63645834,67,76,1,0,n32,2.767708,6.0
3.0104167,0.5552083,62,68,1,0,n33,2.767708,6.0
3.109375,0.45625,65,63,1,0,n34,2.767708,6.0
