velocity,timing,articulation,id
0.0,0.0,0.0,n1-1
0.0,0.0,0.0,n2-1
0.0,0.0,0.0,n3-1
0.0,0.0,0.0,n16-1
0.0,0.0,0.0,n11-1
0.0,0.0,0.0,n6-1
0.0,0.0,0.0,n17-1
0.0,0.0,0.0,n12-1
0.0,0.0,0.0,n13-1
0.0,0.0,0.0,n14-1
0.0,0.0,0.0,n8-1
0.0,0.0,0.0,n9-1
0.0,0.0,0.0,n10-1
0.0,0.0,0.0,n29-1
0.0,0.0,0.0,n24-1
0.0,0.0,0.0,n19-1
0.0,0.0,0.0,n30-1
0.0,0.0,0.0,n25-1
0.0,0.0,0.0,n26-1
0.0,0.0,0.0,n27-1
0.0,0.0,0.0,n21-1
0.0,0.0,0.0,n22-1
0.0,0.0,0.0,n23-1
0.0,0.0,0.0,n42-1
0.0,0.0,0.0,n37-1
0.0,0.0,0.0,n32-1
0.0,0.0,0.0,n43-1
0.0,0.0,0.0,n38-1
0.0,0.0,0.0,n39-1
0.0,0.0,0.0,n40-1
0.0,0.0,0.0,n34-1
0.0,0.0,0.0,n35-1
0.0,0.0,0.0,n36-1
0.0,0.0,0.0,n50-1
0.0,0.0,0.0,n55-1
0.0,0.0,0.0,n45-1
0.0,0.0,0.0,n51-1
0.0,0.0,0.0,n56-1
0.0,0.0,0.0,n52-1
0.0,0.0,0.0,n53-1
0.0,0.0,0.0,n47-1
0.0,0.0,0.0,n48-1
0.0,0.0,0.0,n49-1
0.0,0.0,0.0,n63-1
0.0,0.0,0.0,n68-1
0.0,0.0,0.0,n58-1
0.0,0.0,0.0,n69-1
0.0,0.0,0.0,n64-1
0.0,0.0,0.0,n65-1
0.0,0.0,0.0,n66-1
0.0,0.0,0.0,n60-1
0.0,0.0,0.0,n61-1
0.0,0.0,0.0,n62-1
0.0,0.0,0.0,n81-1
0.0,0.0,0.0,n76-1
0.0,0.0,0.0,n71-1
0.0,0.0,0.0,n82-1
0.0,0.0,0.0,n77-1
0.0,0.0,0.0,n78-1
0.0,0.0,0.0,n79-1
0.0,0.0,0.0,n73-1
0.0,0.0,0.0,n74-1
0.0,0.0,0.0,n75-1
0.0,0.0,0.0,n94-1
0.0,0.0,0.0,n89-1
0.0,0.0,0.0,n84-1
0.0,0.0,0.0,n90-1
0.0,0.0,0.0,n95-1
0.0,0.0,0.0,n91-1
0.0,0.0,0.0,n92-1
0.0,0.0,0.0,n86-1
0.0,0.0,0.0,n87-1
0.0,0.0,0.0,n88-1
0.0,0.0,0.0,n107-1
0.0,0.0,0.0,n102-1
0.0,0.0,0.0,n97-1
0.0,0.0,0.0,n108-1
0.0,0.0,0.0,n103-1
0.0,0.0,0.0,n104-1
0.0,0.0,0.0,n105-1
0.0,0.0,0.0,n99-1
0.0,0.0,0.0,n100-1
0.0,0.0,0.0,n101-1
0.0,0.0,0.0,n115-1
0.0,0.0,0.0,n119-1
0.0,0.0,0.0,n110-1
0.0,0.0,0.0,n116-1
0.0,0.0,0.0,n118-1
0.0,0.0,0.0,n112-1
0.0,0.0,0.0,n113-1
0.0,0.0,0.0,n114-1
0.0,0.0,0.0,n129-1
0.0,0.0,0.0,n125-1
0.0,0.0,0.0,n120-1
0.0,0.0,0.0,n126-1
0.0,0.0,0.0,n128-1
0.0,0.0,0.0,n122-1
0.0,0.0,0.0,n123-1
0.0,0.0,0.0,n124-1
0.0,0.0,0.0,n135-1
0.0,0.0,0.0,n139-1
0.0,0.0,0.0,n130-1
0.0,0.0,0.0,n136-1
0.0,0.0,0.0,n138-1
0.0,0.0,0.0,n132-1
0.0,0.0,0.0,n133-1
0.0,0.0,0.0,n134-1
0.0,0.0,0.0,n149-1
0.0,0.0,0.0,n145-1
0.0,0.0,0.0,n140-1
0.0,0.0,0.0,n146-1
0.0,0.0,0.0,n148-1
0.0,0.0,0.0,n142-1
0.0,0.0,0.0,n143-1
0.0,0.0,0.0,n144-1
0.0,0.0,0.0,n155-1
0.0,0.0,0.0,n159-1
0.0,0.0,0.0,n150-1
0.0,0.0,0.0,n156-1
0.0,0.0,0.0,n158-1
0.0,0.0,0.0,n152-1
0.0,0.0,0.0,n153-1
0.0,0.0,0.0,n154-1
0.0,0.0,0.0,n165-1
0.0,0.0,0.0,n170-1
0.0,0.0,0.0,n160-1
0.0,0.0,0.0,n166-1
0.0,0.0,0.0,n172-1
0.0,0.0,0.0,n175-1
0.0,0.0,0.0,n167-1
0.0,0.0,0.0,n168-1
0.0,0.0,0.0,n162-1
0.0,0.0,0.0,n163-1
0.0,0.0,0.0,n164-1
0.0,0.0,0.0,n181-1
0.0,0.0,0.0,n177-1
0.0,0.0,0.0,n182-1
0.0,0.0,0.0,n183-1
0.0,0.0,0.0,n184-1
0.0,0.0,0.0,n185-1
0.0,0.0,0.0,n179-1
0.0,0.0,0.0,n180-1
0.0,0.0,0.0,n186-1
0.0,0.0,0.0,n187-1
0.0,0.0,0.0,n188-1
0.0,0.0,0.0,n189-1
0.0,0.0,0.0,n190-1
0.0,0.0,0.0,n191-1
0.0,0.0,0.0,n198-1
0.0,0.0,0.0,n202-1
0.0,0.0,0.0,n193-1
0.0,0.0,0.0,n199-1
0.0,0.0,0.0,n201-1
0.0,0.0,0.0,n195-1
0.0,0.0,0.0,n196-1
0.0,0.0,0.0,n197-1
0.0,0.0,0.0,n212-1
0.0,0.0,0.0,n208-1
0.0,0.0,0.0,n203-1
0.0,0.0,0.0,n209-1
0.0,0.0,0.0,n211-1
0.0,0.0,0.0,n205-1
0.0,0.0,0.0,n206-1
0.0,0.0,0.0,n207-1
0.0,0.0,0.0,n222-1
0.0,0.0,0.0,n218-1
0.0,0.0,0.0,n213-1
0.0,0.0,0.0,n219-1
0.0,0.0,0.0,n221-1
0.0,0.0,0.0,n215-1
0.0,0.0,0.0,n216-1
0.0,0.0,0.0,n217-1
0.0,0.0,0.0,n232-1
0.0,0.0,0.0,n228-1
0.0,0.0,0.0,n223-1
0.0,0.0,0.0,n229-1
0.0,0.0,0.0,n231-1
0.0,0.0,0.0,n225-1
0.0,0.0,0.0,n226-1
0.0,0.0,0.0,n227-1
0.0,0.0,0.0,n238-1
0.0,0.0,0.0,n242-1
0.0,0.0,0.0,n233-1
0.0,0.0,0.0,n239-1
0.0,0.0,0.0,n241-1
0.0,0.0,0.0,n235-1
0.0,0.0,0.0,n236-1
0.0,0.0,0.0,n237-1
0.0,0.0,0.0,n248-1
0.0,0.0,0.0,n253-1
0.0,0.0,0.0,n243-1
0.0,0.0,0.0,n255-1
0.0,0.0,0.0,n249-1
